todo,completed,user_id,category,date,duration,
 Commodi velit voluptate et dicta non.,true,4,work,2024-09-28,154,
 Distinctio nemo dicta optio atque.,true,3,other,2024-08-25,129,
 Et.,true,3,other,2024-10-30,48,
 Non non culpa nam optio.,false,3,learning,2024-10-09,130,
 Qui alias esse ut.,true,4,family,2024-08-20,218,
 Molestias labore molestiae velit molestiae.,true,3,shopping,2024-09-18,152,
 Voluptas minima.,false,3,learning,2024-10-16,34,
 Alias.,true,3,family,2024-10-22,232,
 Quod porro rerum consectetur expedita maiores.,true,3,hobby,2024-10-31,119,
 Accusantium.,true,3,other,2024-09-28,95,
 Culpa non doloremque ut.,false,3,shopping,2024-10-02,10,
 Adipisci quidem.,true,3,shopping,2024-10-01,214,
 Aut ut illum architecto quae.,false,4,shopping,2024-08-25,151,
 In et assumenda vel qui.,true,3,work,2024-10-16,69,
 Laudantium corporis.,true,4,hobby,2024-08-18,207,
 Ut.,false,4,personal,2024-09-08,144,
 Et nemo architecto quod quis officia.,true,3,family,2024-08-17,149,
 Et dolore sit.,true,4,family,2024-08-26,99,
 Doloremque mollitia sint quibusdam blanditiis porro.,true,4,accounting,2024-08-25,190,
 Sint aperiam est cupiditate.,true,4,work,2024-09-20,107,
 Dolor laudantium.,true,4,personal,2024-09-24,66,
 Voluptas sit.,true,3,hobby,2024-10-06,31,
 Qui harum aspernatur quis.,false,4,learning,2024-09-17,208,
 Nisi dolore.,false,3,other,2024-09-24,25,
 Deleniti qui.,true,3,shopping,2024-09-20,80,
 Eaque hic et nemo tenetur repudiandae.,false,4,personal,2024-10-21,145,
 Numquam blanditiis quisquam aut eligendi omnis.,false,4,work,2024-08-14,185,
 Ut enim incidunt.,false,4,shopping,2024-09-04,140,
 Qui et soluta.,true,3,shopping,2024-08-12,44,
 In.,false,4,learning,2024-09-22,210,
 Delectus voluptatem.,true,4,shopping,2024-08-27,160,
 Commodi.,true,3,other,2024-10-17,27,
 Aut illum aut.,false,3,learning,2024-09-24,216,
 Aut atque ut nihil voluptatum.,false,3,work,2024-10-28,128,
 Similique autem voluptas.,true,4,accounting,2024-10-18,170,
 Nihil accusantium voluptatum veritatis modi.,false,4,hobby,2024-09-15,165,
 Dolores.,false,3,accounting,2024-10-21,27,
 Eveniet.,false,3,personal,2024-08-10,142,
 Inventore sit perspiciatis.,false,4,family,2024-08-17,155,
 Natus delectus nihil sed quas laboriosam.,false,3,errands,2024-10-31,186,
 Non delectus.,true,3,accounting,2024-09-08,146,
 Porro quis ut culpa.,false,4,work,2024-10-06,224,
 Id ipsum soluta nam repellat consequuntur.,false,3,shopping,2024-11-06,126,
 Quibusdam aut soluta minima exercitationem.,false,4,other,2024-08-26,217,
 Dignissimos mollitia non ab nostrum ea.,false,4,learning,2024-10-30,55,
 Asperiores beatae.,false,3,errands,2024-08-23,132,
 Doloremque repellat tenetur adipisci omnis.,true,3,learning,2024-08-21,22,
 Ullam rem qui aliquam.,true,4,shopping,2024-09-07,53,
 Rerum.,false,3,work,2024-10-10,135,
 Eum rerum quos dolorum.,true,3,errands,2024-09-09,35,
 Aut minus delectus voluptatem aut.,true,3,hobby,2024-08-13,239,
 Molestiae delectus est dolore dolorem quia.,true,3,work,2024-08-21,93,
 Aliquam.,false,3,errands,2024-09-29,91,
 Repellendus velit accusantium tempora ipsa.,false,4,hobby,2024-09-04,131,
 Quasi.,true,3,personal,2024-11-02,231,
 Soluta sit.,true,4,errands,2024-09-30,15,
 Omnis corporis repellat reprehenderit.,true,3,personal,2024-10-05,113,
 Error.,true,3,personal,2024-09-18,231,
 Incidunt veniam odit nam nisi.,false,4,shopping,2024-09-07,219,
 Fuga suscipit qui.,true,4,hobby,2024-09-28,184,
 Ut autem veritatis voluptas est.,true,4,accounting,2024-08-13,163,
 Officiis ea.,true,3,work,2024-09-03,235,
 Impedit sint.,true,3,shopping,2024-08-24,219,
 Consectetur officiis quam omnis voluptates est.,true,3,learning,2024-09-19,219,
 Dolorum tenetur aliquid et temporibus.,false,4,shopping,2024-09-14,11,
 Qui aut aliquam.,false,4,errands,2024-09-27,139,
 Assumenda aliquid adipisci nam ad voluptas.,false,4,work,2024-09-01,17,
 Dolor et.,true,3,errands,2024-08-14,139,
 Est maiores distinctio atque ex perspiciatis.,false,4,shopping,2024-10-06,81,
 Quas.,true,3,shopping,2024-09-16,231
